[HeightDebug] world=(0,15) finalSurfaceY=84 originalSurfaceY=84 rawHeight=84.3812 creepOffset=0.0169277 netDelta=0 neighborAvg=84.25 seaLevelDelta=64 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.995317 roughAmp=0.450702 hillAmp=0.648361 mountainAmp=0.547424 blends= [0] biome=little_mountains weight=0.995317 aggHeight=85.3226 normDist=0.657843 radius=269.901 worldDist=177.553 isOcean=false [1] biome=desert weight=0.00468279 aggHeight=31.1167 normDist=0.914768 radius=353.785 worldDist=323.631 isOcean=false
[HeightDebug] world=(-16,0) finalSurfaceY=84 originalSurfaceY=84 rawHeight=83.7541 creepOffset=0 netDelta=0 neighborAvg=84 seaLevelDelta=64 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.963944 roughAmp=0.454442 hillAmp=0.639635 mountainAmp=0.533712 blends= [0] biome=little_mountains weight=0.963944 aggHeight=85.3226 normDist=0.734854 radius=269.901 worldDist=198.338 isOcean=false [1] biome=desert weight=0.0296113 aggHeight=31.1167 normDist=0.892277 radius=353.785 worldDist=315.674 isOcean=false [2] biome=little_mountains weight=0.00633266 aggHeight=108.632 normDist=0.927197 radius=175.825 worldDist=163.025 isOcean=false [3] biome=ocean weight=0.000111583 aggHeight=-44.6162 normDist=0.973687 radius=520 worldDist=506.317 isOcean=true
[HeightDebug] world=(-16,1) finalSurfaceY=84 originalSurfaceY=84 rawHeight=83.6036 creepOffset=-0.00858281 netDelta=0 neighborAvg=83.875 seaLevelDelta=64 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.968388 roughAmp=0.453875 hillAmp=0.640959 mountainAmp=0.535792 blends= [0] biome=little_mountains weight=0.968388 aggHeight=85.3226 normDist=0.731625 radius=269.901 worldDist=197.466 isOcean=false [1] biome=desert weight=0.0258295 aggHeight=31.1167 normDist=0.894865 radius=353.785 worldDist=316.59 isOcean=false [2] biome=little_mountains weight=0.0056682 aggHeight=108.632 normDist=0.928469 radius=175.825 worldDist=163.248 isOcean=false [3] biome=ocean weight=0.000114045 aggHeight=-44.6162 normDist=0.973267 radius=520 worldDist=506.099 isOcean=true
[HeightDebug] world=(-16,2) finalSurfaceY=84 originalSurfaceY=84 rawHeight=83.5054 creepOffset=-0.0256919 netDelta=0 neighborAvg=83.625 seaLevelDelta=64 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.972348 roughAmp=0.453372 hillAmp=0.642132 mountainAmp=0.537636 blends= [0] biome=little_mountains weight=0.972348 aggHeight=85.3226 normDist=0.7284 radius=269.901 worldDist=196.596 isOcean=false [1] biome=desert weight=0.0224777 aggHeight=31.1167 normDist=0.897455 radius=353.785 worldDist=317.506 isOcean=false [2] biome=little_mountains weight=0.00505828 aggHeight=108.632 normDist=0.929775 radius=175.825 worldDist=163.478 isOcean=false [3] biome=ocean weight=0.0001164 aggHeight=-44.6162 normDist=0.972851 radius=520 worldDist=505.882 isOcean=true
[HeightDebug] world=(-16,3) finalSurfaceY=83 originalSurfaceY=83 rawHeight=83.3485 creepOffset=0.0256418 netDelta=0 neighborAvg=83.375 seaLevelDelta=63 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.975868 roughAmp=0.452927 hillAmp=0.64317 mountainAmp=0.539267 blends= [0] biome=little_mountains weight=0.975868 aggHeight=85.3226 normDist=0.725179 radius=269.901 worldDist=195.727 isOcean=false [1] biome=desert weight=0.0195132 aggHeight=31.1167 normDist=0.900047 radius=353.785 worldDist=318.423 isOcean=false [2] biome=little_mountains weight=0.00450001 aggHeight=108.632 normDist=0.931113 radius=175.825 worldDist=163.713 isOcean=false [3] biome=ocean weight=0.000118648 aggHeight=-44.6162 normDist=0.972438 radius=520 worldDist=505.668 isOcean=true
[HeightDebug] world=(-16,4) finalSurfaceY=83 originalSurfaceY=83 rawHeight=83.2074 creepOffset=0.00853255 netDelta=0 neighborAvg=83.125 seaLevelDelta=63 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.978992 roughAmp=0.452535 hillAmp=0.644086 mountainAmp=0.540706 blends= [0] biome=little_mountains weight=0.978992 aggHeight=85.3226 normDist=0.721964 radius=269.901 worldDist=194.859 isOcean=false [1] biome=desert weight=0.0168964 aggHeight=31.1167 normDist=0.902639 radius=353.785 worldDist=319.34 isOcean=false [2] biome=little_mountains weight=0.00399043 aggHeight=108.632 normDist=0.932484 radius=175.825 worldDist=163.954 isOcean=false [3] biome=ocean weight=0.000120794 aggHeight=-44.6162 normDist=0.972029 radius=520 worldDist=505.455 isOcean=true
[HeightDebug] world=(-16,5) finalSurfaceY=83 originalSurfaceY=83 rawHeight=83.1123 creepOffset=0 netDelta=0 neighborAvg=83 seaLevelDelta=63 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.981759 roughAmp=0.452189 hillAmp=0.644892 mountainAmp=0.541974 blends= [0] biome=little_mountains weight=0.981759 aggHeight=85.3226 normDist=0.718753 radius=269.901 worldDist=193.992 isOcean=false [1] biome=desert weight=0.0145916 aggHeight=31.1167 normDist=0.905233 radius=353.785 worldDist=320.258 isOcean=false [2] biome=little_mountains weight=0.00352667 aggHeight=108.632 normDist=0.933888 radius=175.825 worldDist=164.201 isOcean=false [3] biome=ocean weight=0.000122838 aggHeight=-44.6162 normDist=0.971624 radius=520 worldDist=505.245 isOcean=true
[HeightDebug] world=(-16,6) finalSurfaceY=83 originalSurfaceY=83 rawHeight=82.7648 creepOffset=-0.00850819 netDelta=0 neighborAvg=82.875 seaLevelDelta=63 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.984204 roughAmp=0.451885 hillAmp=0.645601 mountainAmp=0.543088 blends= [0] biome=little_mountains weight=0.984204 aggHeight=85.3226 normDist=0.715546 radius=269.901 worldDist=193.127 isOcean=false [1] biome=desert weight=0.012566 aggHeight=31.1167 normDist=0.907829 radius=353.785 worldDist=321.176 isOcean=false [2] biome=little_mountains weight=0.0031058 aggHeight=108.632 normDist=0.935325 radius=175.825 worldDist=164.454 isOcean=false [3] biome=ocean weight=0.000124785 aggHeight=-44.6162 normDist=0.971222 radius=520 worldDist=505.036 isOcean=true
[HeightDebug] world=(-16,7) finalSurfaceY=83 originalSurfaceY=83 rawHeight=82.505 creepOffset=-0.0339928 netDelta=0 neighborAvg=82.5 seaLevelDelta=63 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.986359 roughAmp=0.451619 hillAmp=0.646223 mountainAmp=0.544065 blends= [0] biome=little_mountains weight=0.986359 aggHeight=85.3226 normDist=0.712345 radius=269.901 worldDist=192.263 isOcean=false [1] biome=desert weight=0.0107895 aggHeight=31.1167 normDist=0.910426 radius=353.785 worldDist=322.095 isOcean=false [2] biome=little_mountains weight=0.00272502 aggHeight=108.632 normDist=0.936793 radius=175.825 worldDist=164.712 isOcean=false [3] biome=ocean weight=0.000126638 aggHeight=-44.6162 normDist=0.970824 radius=520 worldDist=504.829 isOcean=true
[HeightDebug] world=(-16,8) finalSurfaceY=82 originalSurfaceY=82 rawHeight=82.3725 creepOffset=0.0169789 netDelta=0 neighborAvg=82.25 seaLevelDelta=62 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.988255 roughAmp=0.451385 hillAmp=0.646767 mountainAmp=0.54492 blends= [0] biome=little_mountains weight=0.988255 aggHeight=85.3226 normDist=0.709148 radius=269.901 worldDist=191.4 isOcean=false [1] biome=desert weight=0.00923524 aggHeight=31.1167 normDist=0.913024 radius=353.785 worldDist=323.014 isOcean=false [2] biome=little_mountains weight=0.00238155 aggHeight=108.632 normDist=0.938294 radius=175.825 worldDist=164.976 isOcean=false [3] biome=ocean weight=0.000128395 aggHeight=-44.6162 normDist=0.97043 radius=520 worldDist=504.624 isOcean=true
[HeightDebug] world=(-16,9) finalSurfaceY=82 originalSurfaceY=82 rawHeight=82.0982 creepOffset=0 netDelta=0 neighborAvg=82 seaLevelDelta=62 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.989919 roughAmp=0.451182 hillAmp=0.647242 mountainAmp=0.545666 blends= [0] biome=little_mountains weight=0.989919 aggHeight=85.3226 normDist=0.705957 radius=269.901 worldDist=190.539 isOcean=false [1] biome=desert weight=0.00787869 aggHeight=31.1167 normDist=0.915624 radius=353.785 worldDist=323.934 isOcean=false [2] biome=little_mountains weight=0.00207272 aggHeight=108.632 normDist=0.939827 radius=175.825 worldDist=165.245 isOcean=false [3] biome=ocean weight=0.000130064 aggHeight=-44.6162 normDist=0.970039 radius=520 worldDist=504.42 isOcean=true
[HeightDebug] world=(-16,10) finalSurfaceY=82 originalSurfaceY=82 rawHeight=81.91 creepOffset=0 netDelta=0 neighborAvg=82 seaLevelDelta=62 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.991375 roughAmp=0.451005 hillAmp=0.647656 mountainAmp=0.546316 blends= [0] biome=little_mountains weight=0.991375 aggHeight=85.3226 normDist=0.70277 radius=269.901 worldDist=189.679 isOcean=false [1] biome=desert weight=0.00669762 aggHeight=31.1167 normDist=0.918225 radius=353.785 worldDist=324.854 isOcean=false [2] biome=little_mountains weight=0.001796 aggHeight=108.632 normDist=0.941392 radius=175.825 worldDist=165.52 isOcean=false [3] biome=ocean weight=0.000131645 aggHeight=-44.6162 normDist=0.969652 radius=520 worldDist=504.219 isOcean=true
[HeightDebug] world=(-16,11) finalSurfaceY=82 originalSurfaceY=82 rawHeight=81.6728 creepOffset=0 netDelta=0 neighborAvg=82 seaLevelDelta=62 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.992646 roughAmp=0.450851 hillAmp=0.648014 mountainAmp=0.54688 blends= [0] biome=little_mountains weight=0.992646 aggHeight=85.3226 normDist=0.699589 radius=269.901 worldDist=188.82 isOcean=false [1] biome=desert weight=0.00567215 aggHeight=31.1167 normDist=0.920827 radius=353.785 worldDist=325.774 isOcean=false [2] biome=little_mountains weight=0.0015489 aggHeight=108.632 normDist=0.942988 radius=175.825 worldDist=165.801 isOcean=false [3] biome=ocean weight=0.000133141 aggHeight=-44.6162 normDist=0.969269 radius=520 worldDist=504.02 isOcean=true
